 sim.turn     t(hours)        L(cm^-2 s^-1)  reduction factor (hourglass,crossing angle) 
      8800    0.4347309E+01    0.4720398E+27    0.9756200E+00
      8900    0.4396710E+01    0.4689539E+27    0.9756116E+00
      9000    0.4446112E+01    0.4652812E+27    0.9754309E+00
      9100    0.4495513E+01    0.4617292E+27    0.9756964E+00
      9200    0.4544914E+01    0.4589677E+27    0.9756772E+00
      9300    0.4594316E+01    0.4558762E+27    0.9754730E+00
      9400    0.4643717E+01    0.4525433E+27    0.9757172E+00
      9500    0.4693118E+01    0.4493308E+27    0.9757092E+00
      9600    0.4742519E+01    0.4467795E+27    0.9756299E+00
      9700    0.4791921E+01    0.4437260E+27    0.9756993E+00
      9800    0.4841321E+01    0.4408252E+27    0.9756770E+00
      9900    0.4890723E+01    0.4379816E+27    0.9757529E+00
     10000    0.4940124E+01    0.4350307E+27    0.9757680E+00
     10100    0.4989525E+01    0.4319784E+27    0.9757054E+00
     10200    0.5038927E+01    0.4291853E+27    0.9757999E+00
     10300    0.5088327E+01    0.4266895E+27    0.9758224E+00
     10400    0.5137729E+01    0.4236965E+27    0.9757792E+00
     10500    0.5187130E+01    0.4212856E+27    0.9758133E+00
     10600    0.5236531E+01    0.4188682E+27    0.9758350E+00
     10700    0.5285933E+01    0.4159750E+27    0.9758121E+00
     10800    0.5335334E+01    0.4131570E+27    0.9758815E+00
     10900    0.5384736E+01    0.4102928E+27    0.9758930E+00
     11000    0.5434136E+01    0.4076315E+27    0.9758366E+00
     11100    0.5483538E+01    0.4050840E+27    0.9759523E+00
     11200    0.5532939E+01    0.4027332E+27    0.9759251E+00
     11300    0.5582340E+01    0.4002979E+27    0.9759011E+00
     11400    0.5631742E+01    0.3976942E+27    0.9759356E+00
     11500    0.5681142E+01    0.3954640E+27    0.9759378E+00
     11600    0.5730544E+01    0.3929811E+27    0.9760410E+00
     11700    0.5779945E+01    0.3902967E+27    0.9760622E+00
     11800    0.5829346E+01    0.3877476E+27    0.9759882E+00
